h,ae,me,mm,ksb,lim
2.0,0.008890186266136847,0.012814250790671274,0.008891831088356847,0.009628652793926848,0.013999999999999565
3.0,0.006643161954222816,0.00873547359668629,0.008028045021428615,0.0058156436146950255,0.02000000000000016
4.0,0.0011528801690768445,0.00497111609516383,0.004989730860721956,0.0011572371410487013,0.007999999999999589
5.0,0.0038580265191655028,0.014301859231223556,0.012265173380266024,0.004064439195221276,0.02000000000000016
6.0,0.0005683431924545609,0.0030963848726944724,0.002723761390669554,0.0006121748694674783,0.0039999999999997945
7.0,0.0020894244641503907,0.015665715702723734,0.013096240798750235,0.0032995358136194367,0.02000000000000016
8.0,0.0002039785025155914,0.0031309471636972526,0.0019248906918856333,0.0002775519601141932,0.0039999999999997945
9.0,0.0004775508893454336,0.007827714827066502,0.003780855945499126,0.00047370494649672803,0.01000000000000008
10.0,0.0005104733969826095,0.0027224556645240572,0.0016970808586092231,0.0005338808412092624,0.0034999999999998912
11.0,0.0006352092941217155,0.011134632060488753,0.005573559747819465,0.0024377555799611796,0.015000000000000367
12.0,0.00029389719786283836,0.0023514723932261928,0.0011107307473497436,0.0005554067770804693,0.0031800000000001124
13.0,0.0014951624412326136,0.01116943682336502,0.0058446361090170726,0.0016613858879188886,0.015000000000000367
14.0,0.0005621292703939367,0.002208155939318316,0.001071296518085792,0.0003814758990144175,0.002959999999999915
15.0,0.00039469709311758234,0.002258658310782201,0.0009457276299266322,0.0004797324190124644,0.0030000000000000547
16.0,0.0003565087922497511,0.0020551295480475593,0.0008992717688015521,0.0003696899042957357,0.0027900000000000533
17.0,0.00106542698694062,0.008888601081955728,0.004024193280026829,0.0009017333742401306,0.012000000000000219
18.0,0.000346047673486977,0.0019977698968280757,0.000960037501009492,0.000545503843447623,0.0026599999999999944
19.0,0.0009138758184232718,0.00826902443597268,0.004096893392571093,0.001799917435217855,0.010739999999999797
20.0,0.0003683868839905507,0.0019383111755877985,0.0009722582882891258,0.00022862067527794797,0.002549999999999992
21.0,0.00019594818418083417,0.0015506867761938543,0.0007423195987938292,0.00011576879103501771,0.0019999999999998973
22.0,0.00023750889834000177,0.0019205726899886018,0.0008963662080079178,0.0001044878544921446,0.002460000000000056
23.0,0.0005986188497255361,0.0070184910471265145,0.0031896317893960534,0.00042605030738863834,0.008870000000000018
24.0,0.00025418813642182005,0.0019142039764237422,0.0008527331016600582,0.0002676040619446928,0.0023900000000000405
25.0,0.0008093092670856007,0.006464002064109767,0.0032549250358481557,0.0006505799847613322,0.00816000000000014
26.0,0.00015953445925655425,0.0018512593423611206,0.0008533165473367499,0.000159001110255597,0.002330000000000043
27.0,9.765864812136137e-5,0.0016034658371917498,0.0007047774788781191,0.0003284624459653463,0.0019999999999998973
28.0,0.00018339796412695952,0.001812517381010823,0.0007961614885605142,0.00022248008286313156,0.0022799999999999214
29.0,0.0003487812142828207,0.005609334730786671,0.0024309237152109497,0.0005328283512235872,0.007030000000000205
30.0,0.00014404132025093265,0.0017690138349261485,0.0007776085624130446,6.868284301851809e-5,0.0022299999999999607
31.0,0.00019795386264204152,0.005204293455979551,0.002551368177804254,0.00018098177967857323,0.0065799999999997276
32.0,0.00011669084812289578,0.0017144019097415965,0.0008221006643685787,5.065439804756795e-5,0.0021900000000000396
33.0,0.00011463895949368998,0.001579919544541892,0.0006833763528966518,7.39271767475427e-5,0.0019999999999998973
34.0,0.00013050952763139323,0.0017236907102816921,0.0007298254305770131,0.00011304992720015123,0.0021599999999999606
35.0,0.00035868012709278384,0.004555899792619765,0.0019277777731382274,0.00037693870603403094,0.00582999999999972
36.0,0.00013619096450772026,0.0016658433221652246,0.0007050613346680763,0.0001496327177298192,0.002130000000000082
37.0,0.00022417312308207373,0.004344857883264223,0.0018037909714107804,0.0003497031963471705,0.005509999999999888
38.0,0.00010239892766286163,0.001652155318044569,0.0006925453616959255,9.54169047453555e-5,0.002099999999999991
39.0,0.00010892173152307388,0.001569335811844854,0.0006601300140203968,7.349304512599319e-5,0.0019999999999998973
40.0,0.00014575226190642376,0.0016190853234952412,0.0006879480034984683,6.90903526331992e-5,0.00207999999999995
41.0,0.00025027729361619074,0.0038321978706379947,0.001617493884141443,0.0002320913570228378,0.0049799999999999055
42.0,6.328968813875367e-5,0.0015869968970366997,0.0006655483418375655,0.000174360998271747,0.0020500000000000787
43.0,0.00019889301832658456,0.003646167599405098,0.0015404814276485177,0.0003821646491359401,0.004739999999999969
44.0,9.130825724882348e-5,0.0015604209547086217,0.0006585517399642984,7.321872033145554e-5,0.002029999999999978
45.0,7.560349373262221e-5,0.00153747629132734,0.0006441802534560014,3.2713881761921105e-5,0.0019999999999998973
46.0,6.863399821934276e-5,0.001537194602212912,0.0006451511634105345,3.9454769936678275e-5,0.0020099999999999402
47.0,0.00017149286428808804,0.003270158929283691,0.0013842211003393366,0.00017156767424977222,0.004339999999999989
48.0,8.028641074820987e-5,0.0015064650544355264,0.0006368125682396059,6.611324734119578e-5,0.0019999999999998973
49.0,0.00016130302472340937,0.0031134085065852267,0.0014260937492397347,0.00013863757890049573,0.0041599999999999
50.0,0.00010984314175925178,0.0014908161074735247,0.0006973374470573598,8.968614249502067e-5,0.0019800000000000646
